	iso	lang_name	bible_name	bible_id	population	country	video_date	audio_date	text_date	
	kdh	Tem	2019 Association Bible Tem	KDHABT	204000	Togo	2022-06-20	2022-05-26	2022-01-04	
	kin	Rwanda	Ikinyarwanda Cy'iki Gihe (Common) Interconfessional	KINSIX	6490000	Rwanda	2022-06-17	2022-03-01	2022-02-22	
	tcy	Mavilan Tulu	New Life Computer Institute	TCYNLC	1720000	India	2022-06-16	NULL,NULL
	tuk	LAYT	2020 by Turkmen Bible Partnership	TUKTBP	NULL,NULL	2022-06-15	2022-05-25	NULL
	fmu	Gaita Koitor	Wycliffe India	FMUWIN	400000	India	2022-06-14	2022-05-26	NULL
	yva	Yawa	YASUMA, 2011	YVATBL	10000	Indonesia	2022-06-14	2021-07-02	2018-04-13	
	tic	Tira	2008 Edition	TICWBT	40000	Sudan	2022-06-13	2022-05-24	NULL
	alj	Alangan	Overseas Missionary Fellowship 1989	ALJOMF	7690	Philippines	2022-06-13	2021-04-22	2022-04-04	
	hnn	Hanunoo	1995 Overseas Missionary Fellowship	HNNOMF	13000	Philippines	2022-06-13	2022-03-02	2022-04-05	
	twb	Tawbuid, Western	OMF International 1999	TWBOMF	6810	Philippines	2022-06-13	2022-03-02	2022-04-05	
	lbj	Ladakhi	Moravian Church Ladakhi (Colloquial) Bible Translation Ministry	LBJMCV	105000	India	2022-05-27	2022-05-24	2022-06-14	
	vmy	Mazateco, Ayautla	2009 Wycliffe Bible Translators, Inc (Milta Studio Audio)	VMYWBT	3700	Mexico	2022-05-25	2022-05-24	NULL
	ckb	Kurdish, Sorani	The Holy Bible, Kurdi Sorani Standard™	CKBIBS	3500000	Iraq	2022-05-24	2021-11-24	2020-10-08	
	mwe	Mwera (Chimwera)	Pioneer Bible Translators	MWEPBT	469000	Tanzania	2022-05-24	2022-03-30	NULL
	zza	Zaza	Kitabı Mukaddes Şirketi	ZZAWBT	1640000	Turkey	2022-05-23	2022-05-11	NULL
	ckt	Chukchi	Institute for Bible Translation, Moscow	CKTNVS	5100	Russia	2022-05-23	2022-05-24	NULL
	tcz	Kuki	Indian Evangelical Mission	TCZIEM	243000	India	2022-05-23	2022-04-29	NULL
	ril	Riang	Wycliffe Bible Translators, Inc	RILWBT	12500	Myanmar (Burma)	2022-05-11	2022-05-13	2022-05-10	
	suv	Puroik	Indian Evangelical Mission	SUVIEM	20000	India	2022-05-09	2022-04-27	NULL
	kps	Tehit Imian	2007 Yayasan Betania Indonesia®	KPSYBI	10000	Indonesia	2022-05-09	2022-04-29	2022-02-22	
	pcg	Paniya	New Life Computer Institute	PCGNLC	94000	India	2022-05-02	2022-04-27	NULL
	kmr	Kurdish Kurmanji	2005 United Bible Society	KMRK05	15000000	Turkey	2022-04-29	2022-03-01	2018-12-06	
	phr	Pahari-Mirpuri	2021 WBT	PHRWBT	2500000	India	2022-04-29	2022-04-29	NULL
	gol	Gola	New Testament in Gola	GOLLIB	99300	Liberia	2022-04-29	2022-03-30	NULL
	mai	Maithili	Wycliffe Bible Tranlsators, Inc.	MAIWBT	30000000	India	2022-04-19	2022-03-01	2018-04-04	
	kjo	Kinnauri, Paharia	New Life Computer Institute	KJONLC	6330	India	2022-04-19	2022-04-27	NULL
	pio	Piapoco	2009, Wycliffe Bible Translators, Inc	PIOWYI	4930	Colombia	2022-04-19	2022-04-27	NULL
	bfy	Bagheli	Wycliffe India, 2020	BFYWIN	2860000	India	2022-04-13	2022-02-23	2022-06-13	
	ahr	Ahirani	The Word For The World	AHRWFW	1870000	India	2022-04-13	2021-07-13	2021-06-08	
	ory	Odia	Easy to Read Version	ORYLPF	32100000	India	2022-04-13	NULL,NULL
	tsw	Tsishingini	2011, Wycliffe Bible Translators, Inc.	TSWTBL	100000	Nigeria	2022-04-11	2022-05-16	NULL
	tcs	Yumplatok	Baibol Tores Streit Yumplatok	TCSWYI	6040	Australia	2022-04-11	2022-03-31	2022-05-20	
	sun	Sundanese	Today's Version 1991 (Nganggo Basa Sunda Sadidinten)	SUNTSV	34000000	Indonesia	2022-04-05	2022-03-02	2022-04-06	
	mad	Madurese	Today's Madura Version, 1994	MADIBS	6770000	Indonesia	2022-04-05	2022-03-01	2022-04-06	
	cja	Cham, Western	Cham, Western New Testament	CJAWYI	204000	Cambodia	2022-04-01	2022-03-30	NULL
	ayo	Ayoré	2018 Ethnos 360	AYOETS	2600	Bolivia	2022-03-30	2021-12-07	2021-06-23	
	kfp	Korwa	Wycliffe India Version	KFPWIN	34600	India	2022-03-29	NULL	2018-04-04	
	kvw	Wersing	2020 Unit Bahasa dan Budaya (UBB)	KVWUBB	3700	Indonesia	2022-03-28	2022-02-09	2022-01-24	
	bgw	Bhatri	Indian Evangelical Mission	BGWIEM	217000	India	2022-03-14	2022-03-01	NULL
	mie	Mixteco de Ocotepec	1977, Wycliffe Bible Translators, Inc.	MIETBL	6170	Mexico	2022-03-10	2022-02-09	2018-04-13	
	spy	Sabaot	1997 Wycliffe Bible Translators Inc.	SPYWBT	241000	Kenya	2022-03-08	2022-03-02	2018-05-16	
	mym	Me’en	2020 Kale Heywet Church and BS Ethiopia	MYMEKH	151000	Ethiopia	2022-03-08	2022-05-26	NULL
	kat	Ingilo	Bibles International	KATBIV	3900000	Georgia	2022-03-08	2022-03-30	NULL
	vag	Vagla	1977 Bible League Intl.	VAGWBT	13500	Ghana	2022-03-07	2022-03-02	2018-04-04	
	grc	Greek-Koine	Robinson and Pierpont, 2005	GRCNVS	NULL	Greece	2022-03-07	2021-12-10	NULL
	cat	Catalan	Traducció Interconfessional	CATBSS	6890000	Spain	2022-03-04	2021-10-29	2021-02-22	
	ilb	Ila	2015 Davar Partners International Audio	ILBDPI	71200	Zambia	2022-03-04	2022-03-01	2022-03-07	
	tzj	Tzutujil Eastern	1992 Wycliffe	TZJIBS	83800	Guatemala	2022-03-03	2022-02-10	2018-04-04	
